19,0,52,0,92,0,33,1,58,0,33,1,92,1,80,1,53,1,80,0,80,1,80,0,33,1,92,1,19,1,73,0,53,1,58,0,58,0,19,0
100,0,21,1,52,0,3,1,25,1,21,1,2,0,65,0,52,1,16,1,21,0,21,0,103,1,37,1,60,0,60,0,45,1,60,1,60,0,103,1
18,0,8,0,94,1,8,0,8,1,87,1,8,1,41,1,6,0,108,1,72,0,95,1,102,1,8,0,79,1,54,1,95,0,51,0,63,0,41,0
8,0,8,1,93,1,8,1,8,1,21,1,8,1,68,1,105,0,8,1,8,1,35,0,6,1,21,0,44,0,48,1,1,0,53,0,93,0,57,1
20,0,32,0,40,0,32,1,44,1,64,1,9,0,32,0,32,0,9,1,44,0,9,1,44,1,9,0,26,0,20,0,20,1,20,0,26,0,62,0
8,1,4,1,60,1,74,1,14,1,89,1,89,0,46,1,86,1,14,1,70,1,82,1,94,1,19,0,57,0,93,1,114,0,20,1,95,0,89,0
8,0,41,1,109,1,51,1,34,1,19,0,107,1,19,1,107,0,107,1,11,0,45,0,45,1,4,0,64,1,13,1,73,1,41,1,49,1,104,0
31,1,64,1,21,0,30,0,21,0,21,1,30,0,30,0,30,0,30,1,30,0,30,1,30,1,30,0,30,1,5,1,9,0,5,0,26,0,26,0
73,0,113,1,32,0,75,0,72,0,12,1,17,1,46,0,114,0,12,0,17,1,91,1,113,0,63,0,35,1,91,0,32,0,9,1,39,0,101,1
49,0,94,1,51,0,91,0,16,0,102,1,100,0,103,1,85,1,49,0,62,0,30,1,28,1,53,1,62,0,49,0,49,0,28,1,41,1,42,1
99,0,55,0,97,1,71,0,13,1,40,1,71,0,104,1,75,0,96,1,84,0,96,1,88,0,68,0,86,0,36,1,13,0,51,0,98,0,96,1
51,0,2,1,120,1,120,1,119,0,119,0,119,0,11,0,119,0,119,1,119,0,119,0,119,0,119,1,53,1,119,1,74,1,74,1,38,1,38,1
87,1,30,1,101,1,87,0,66,1,68,1,68,0,52,0,68,1,66,1,119,1,58,0,66,0,101,1,87,0,91,1,66,1,66,0,66,0,66,1
104,1,53,1,74,0,74,0,76,1,0,0,65,1,99,0,50,0,104,1,53,1,74,0,74,0,76,1,0,0,65,1,99,0,50,0,53,1,74,0
114,1,80,0,86,1,90,1,106,1,35,1,46,1,25,1,80,1,113,0,96,1,92,0,4,1,40,1,43,1,79,1,85,1,23,1,74,0,44,1
72,0,96,1,12,0,11,1,41,0,48,1,54,0,10,1,67,0,67,0,64,0,60,0,3,1,108,0,43,1,48,0,2,0,26,0,67,1,11,0
55,0,111,0,111,0,111,1,18,0,63,0,111,1,94,0,19,0,54,1,72,1,62,0,21,0,33,0,104,1,2,1,55,1,23,0,63,1,33,0
81,0,81,0,81,1,81,1,81,1,112,0,49,1,19,1,81,0,37,0,5,0,81,0,5,1,81,0,81,1,81,1,85,1,85,0,57,1,95,1
93,1,104,1,35,1,34,1,52,1,84,0,101,1,61,1,47,1,11,1,77,0,61,1,25,1,101,1,61,1,25,1,25,0,104,0,46,1,52,1
6,1,49,1,49,1,64,1,45,1,48,1,6,0,42,0,12,1,48,1,48,1,35,0,63,0,2,0,44,1,9,1,47,0,72,1,99,0,70,1
47,1,11,0,21,0,113,0,109,1,114,1,53,0,18,1,85,0,22,0,93,0,69,0,69,1,12,1,74,0,99,0,47,0,51,0,104,0,39,1
8,0,4,1,3,0,119,1,48,0,22,0,27,0,9,0,69,0,119,1,58,1,62,1,58,0,62,1,62,1,14,1,63,0,62,0,31,0,119,0
104,0,48,1,48,0,15,1,15,0,10,0,15,0,6,1,97,1,12,1,94,0,94,0,21,0,11,1,4,1,76,1,19,1,33,1,88,1,99,1
16,0,107,1,120,1,98,0,107,1,76,1,26,0,98,1,88,0,29,1,100,1,103,1,103,0,55,0,72,0,86,0,75,0,26,1,3,1,64,1
35,1,94,0,12,0,8,1,48,1,48,1,48,0,19,0,30,0,30,0,29,0,30,0,99,0,29,1,119,1,52,0,5,0,2,0,2,0,72,0
90,1,26,1,26,1,19,1,68,1,86,1,51,0,19,1,111,0,19,1,88,1,1,1,74,1,79,1,30,0,79,1,79,1,111,0,73,1,79,1
8,1,56,0,6,1,42,1,48,1,18,0,47,0,15,1,6,0,56,1,95,1,44,0,18,0,48,1,48,0,35,1,6,0,56,0,73,1,41,0
72,0,51,1,26,1,106,0,1,1,86,0,97,0,34,0,26,0,22,1,2,0,74,1,106,1,76,0,8,1,8,0,13,1,17,1,76,1,21,0
14,0,70,1,64,0,32,0,44,1,63,0,52,0,52,0,13,0,84,0,111,0,85,1,81,0,44,0,106,0,63,0,63,0,63,1,96,0,96,0
25,0,35,0,30,1,50,0,104,1,62,0,70,1,12,1,16,1,4,1,93,1,8,1,8,0,25,0,93,0,81,1,12,1,64,1,16,0,58,1
53,0,65,0,54,0,17,1,109,1,39,1,44,1,95,1,15,0,72,1,119,0,99,0,8,1,32,0,8,0,81,1,99,0,38,1,96,1,108,1
46,0,12,1,93,0,21,0,52,0,44,0,67,1,21,0,48,0,44,1,21,1,12,0,106,1,12,0,41,1,12,1,48,1,17,0,67,1,21,0
69,1,2,0,69,1,63,0,53,1,29,1,53,0,78,0,78,1,40,0,70,1,52,0,100,0,55,1,13,0,97,1,38,1,69,0,21,1,13,0
20,1,46,1,93,1,48,1,41,1,54,1,70,0,60,0,12,0,1,1,4,0,95,1,54,1,1,1,60,0,41,0,99,0,1,0,3,1,48,1
14,0,108,1,91,0,112,0,91,1,5,0,91,0,63,0,63,0,56,1,51,1,91,0,69,1,28,0,96,1,96,0,55,1,91,1,91,0,91,1
